name	clade
A/HongKong/48013/1997	0
A/Chicken/HongKong/976/1997	0
A/chicken/Jiande/1218/2001	0
A/goose/HongKong/437-8/1999	0
A/Ck/HongKong/374/2002	0
A/duck/Guangxi/27/2003	0
A/bar-headedgoose/Qinghai/1/2008	0
A/goose/HongKong/10329/2000	0
A/duck/Zhejiang/11/2000	0
A/goose/Shantou/4325/2001	0
A/chicken/Jilin/xv/2002	0
A/bar-headedgoose/Qinghai/11/2008	0
A/Duck/HongKong/y283/1997	0
A/HongKong/538/1997	0
A/environment/Qinghai/1/2008	0
A/Goose/HongKong/3855/2000	0
A/bar-headedgoose/Qinghai/7/2008	0
A/chicken/Hubei/wf/2002	0
A/Gf/HongKong/38/2002	0
A/Duck/HongKong/ww487/2000	0
A/chicken/China/1/2002	0
A/goose/HongKong/437-6/1999	0
A/HongKong/485/1997	0
A/HongKong/483/1997	0
A/Goose/HongKong/3853/2000	0
A/Environment/HongKong/437-6/1999	0
A/chicken/Shantou/28/2002	0
A/Goose/HongKong/ww28/2000	0
A/commoncormorant/Qinghai/12/2008	0
A/HongKong/507/1997	0
A/chicken/Hubei/wj/1997	0
A/chicken/Hubei/wn/2003	0
A/HongKong/482/1997	0
A/chicken/Shantou/5738/2001	0
A/duck/Shantou/1437/2001	0
A/chicken/Jilin/ha/2003	0
A/environment/HongKong/67415/2002	0
A/chicken/HongKong/990/1997	0
A/goose/Guangdong/3/1997	0
A/environment/HongKong/486/1997	0
A/HongKong/481/1997	0
A/Duck/Anyang/AVL-1/2001	0
A/Goose/Huadong/1/2000	0
A/Goose/HongKong/ww26/2000	0
A/duck/Shanghai/37/2002	0
A/swine/Shandong/2/2003	0
A/bar-headedgoose/Qinghai/4/2008	0
A/chicken/Hubei/wl/1997	0
A/HongKong/491/1997	0
A/goose/Shantou/4885/2001	0
A/duck/Shanghai/35/2002	0
A/Chicken/HongKong/3175/2001	0
A/spotbillduck/Xuyi/18/2005	0
A/chicken/luohuo/3/2003	0
A/duck/Fujian/13/2002	0
A/goose/Leuwiliang/IPB4-RS/2006	0
A/duck/Vietnam/8/2005	0
A/chicken/Jilin/xw/2003	0
A/bar-headedgoose/Qinghai/6/2008	0
A/goose/Vietnam/3/2005	0
A/HongKong/542/1997	0
A/commoncormorant/Qinghai/9/2008	0
A/Duck/HongKong/ww382/2000	0
A/Duck/HongKong/ww381/2000	0
A/bar-headedgoose/Qinghai/5/2008	0
